,phe_L_e,gln_L_e,trp_L_e,cys_L_e,hdca_e,pro_L_e,val_L_e,glu_L_e,ile_L_e,arg_L_e,tyr_L_e,met_L_e,ala_L_e,lys_L_e,lnlc_e,lac_L_e,asn_L_e,bhb_e,his_L_e,thr_L_e,asp_L_e,ser_L_e,ocdcea_e,acac_e,leu_L_e,glc_D_e
C02712_c,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
C02712_m,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
